ID,cal_file,marker_style,date,camera_make,camera_model,camera_serial,lens_make,lens_model,lens_serial,focal,lr_dist,tb_dist,llur_dist,ullr_dist,mlx,mly,mrx,mry,mtx,mty,mbx,mby,llx,lly,urx,ury,ulx,uly,lrx,lry
AR1SWHC00010001,Report_2_2_162804-2.pdf,wild_corner,1960-10-27,Wild Heerbrugg,RC9,465,Wild,Super Aviogon,SAG30,88.38,,,299.808,299.818,,,,,,,,,,,,,,,,
AR1SWHD00010001,Report_WRC9SAg4.pdf,wild_corner,,Wild Heerbrugg,RC9,,Wild,Super Aviogon,,88.409,,,299.814,299.816,,,,,,,,,-106.003,-106.006,105.999,105.998,-105.997,105.997,106.004,-106.006
AR1SWHE00010001,Report_2_2_162804-2.pdf,wild_corner,1960-10-27,Wild Heerbrugg,RC9,465,Wild,Super Aviogon,SAG30,88.38,,,299.808,299.818,,,,,,,,,,,,,,,,
AR1SWHF00010018,Report_232_05_206205.pdf,zeiss_float,1972-03-29,Zeiss,RMK A 8.5/23,113501,Zeiss,S-Pleogon A,111568,85.5,226.024,226.025,294.129,294.14,,,,,,,,,,,,,,,,
AR1SWHG00010001,Report_232_05_206205.pdf,zeiss_float,1972-03-29,Zeiss,RMK A 8.5/23,113501,Zeiss,S-Pleogon A,111568,85.5,226.024,226.025,294.129,294.14,,,,,,,,,,,,,,,,
AR1SWHH00010001,Report_232_05_206205.pdf,zeiss_float,1972-03-29,Zeiss,RMK A 8.5/23,113501,Zeiss,S-Pleogon A,111568,85.5,226.024,226.025,294.129,294.14,,,,,,,,,,,,,,,,
AR1SWHI00010016,Report_RT-R_575.pdf,wild_corner,1979-11-30,Wild Heerbrugg,RC9,613,Wild,Super Aviogon,SAg69,88.571,,,299.82,299.803,,,,,,,,,-105.992,-106.007,106.015,105.995,-105.975,105.997,106.007,-106.007
AR1SWHJ00010001,Report_RT-R_358.pdf,wild_corner,1977-10-21,Wild Heerbrugg,RC9,644,Wild,Super Aviogon,SAg67,88.353,,,299.82,299.811,,,,,,,,,-105.994,-106.014,106.018,105.984,-105.985,105.984,106.013,-106.014
AR1SWHK00010001,Report_RT-R_358.pdf,wild_corner,1977-10-21,Wild Heerbrugg,RC9,644,Wild,Super Aviogon,SAg67,88.353,,,299.82,299.811,,,,,,,,,-105.994,-106.014,106.018,105.984,-105.985,105.984,106.013,-106.014
AR1SWHL00010001,Report_RT-R_358.pdf,wild_corner,1977-10-21,Wild Heerbrugg,RC9,644,Wild,Super Aviogon,SAg67,88.353,,,299.82,299.811,,,,,,,,,-105.994,-106.014,106.018,105.984,-105.985,105.984,106.013,-106.014
AR1SWHMI0010001,Report_RT-R_358.pdf,wild_corner,1977-10-21,Wild Heerbrugg,RC9,644,Wild,Super Aviogon,SAg67,88.353,,,299.82,299.811,,,,,,,,,-105.994,-106.014,106.018,105.984,-105.985,105.984,106.013,-106.014
AR1SWHNI0010001,Report_RT-R_358.pdf,wild_corner,1977-10-21,Wild Heerbrugg,RC9,644,Wild,Super Aviogon,SAg67,88.353,,,299.82,299.811,,,,,,,,,-105.994,-106.014,106.018,105.984,-105.985,105.984,106.013,-106.014
AR1SWHO00010001,Report_RT-R_575.pdf,wild_corner,1979-11-30,Wild Heerbrugg,RC9,613,Wild,Super Aviogon,SAg69,88.571,,,299.82,299.803,,,,,,,,,-105.992,-106.007,106.015,105.995,-105.975,105.997,106.007,-106.007
AR1SWHP00020001,Report_RT-R_575.pdf,wild_corner,1979-11-30,Wild Heerbrugg,RC9,613,Wild,Super Aviogon,SAg69,88.571,,,299.82,299.803,,,,,,,,,-105.992,-106.007,106.015,105.995,-105.975,105.997,106.007,-106.007
